John Carlson,WSH,1990-10-21,1038.8499774443092,D,52,10,34,69,52
Josh Morrissey,WPG,1996-10-19,1038.8499774443092,D,56,4,17,86,78
Patrik Laine,TOT,1999-10-19,1038.8499774443092,RW,46,12,12,15,36
Jakub Vrana,WSH,1997-10-19,1038.8499774443092,LW,39,11,14,4,26
Kaapo Kahkonen,MIN,1997-10-19,1021.1500225556907,G,24,16,8,2.88,0.902,2
Braden Holtby,VAN,1990-10-21,1020.0,G,21,7,11,3.67,0.889,0
Adam Lowry,WPG,1994-10-20,1020.0,LW,52,10,14,30,161
Matthew Tkachuk,CGY,1998-10-19,1020.0,LW,56,16,27,9,132
Andrei Vasilevskiy,TBL,1995-10-20,1020.0,G,42,31,10,2.21,0.925,5
Bryan Rust,PIT,1993-10-20,1020.0,RW,56,22,20,30,62
Dougie Hamilton,CAR,1994-10-20,1020.0,D,55,10,32,64,52
Zach Hyman,TOR,1993-10-20,1020.0,C,43,15,18,21,69
Max Pacioretty,VEG,1989-10-21,1020.0,LW,48,24,27,29,33
Mikko Rantanen,COL,1997-10-19,1020.0,RW,52,30,36,20,26
Nicolas Deslauriers,ANA,1992-10-20,1020.0,LW,49,5,5,20,136
Alex Iafallo,LAK,1994-10-20,1020.0,C,55,13,17,39,26
Anthony Duclair,FLA,1996-10-19,1020.0,LW,43,10,22,9,32
Chris Kreider,NYR,1992-10-20,1020.0,LW,50,20,10,35,115
Filip Forsberg,NSH,1995-10-20,1020.0,C,39,12,20,14,47
Thomas Chabot,OTT,1997-10-19,1020.0,D,49,6,25,72,68
Anders Lee,NYI,1991-10-21,1020.0,LW,27,12,7,13,39
Jamie Benn,DAL,1990-10-21,1020.0,LW,52,11,24,27,73
Tyson Barrie,EDM,1992-10-20,1020.0,D,56,8,40,59,26
Alex Ovechkin,WSH,1986-10-22,1020.0,LW,45,24,18,23,98
Patrik Laine,CBJ,1999-10-19,1020.0,RW,45,10,11,14,33
Travis Konecny,PHI,1998-10-19,1020.0,C,50,11,23,16,55
Patrick Kane,CHI,1989-10-21,1020.0,RW,56,15,51,15,13
Colin Blackwell,NYR,1994-10-20,1020.0,C,47,12,10,19,45
Trevor Moore,LAK,1996-10-19,1020.0,LW,56,10,13,10,38
Erik Cernak,TBL,1998-10-19,1020.0,D,46,5,13,46,98
Alex DeBrincat,CHI,1998-10-19,1020.0,RW,52,32,24,22,70
Johnny Gaudreau,CGY,1994-10-20,1020.0,LW,56,19,30,9,8
Artemi Panarin,NYR,1992-10-20,1020.0,LW,42,17,41,7,13
Zach Werenski,CBJ,1998-10-19,1018.8499774443093,D,35,7,13,39,21
Sebastian Aho,CAR,1998-10-19,1000.0,F,56,24,33,25,38
