Nick Foligno,CBJ,1988-10-21 16:36:00.757045,1020.0,LW,42,7,9,35,109
Drake Batherson,OTT,1999-10-19 16:36:00.585660,1020.0,C,56,17,17,29,102
Vitaly Abramov,OTT,1999-10-19 16:36:00.553078,1000,RW,2,0,0,0,0
Noel Acciari,FLA,1992-10-20 16:36:00.553676,1000,C,41,4,7,63,91
Calen Addison,MIN,2001-10-18 16:36:00.554225,1000,D,3,0,0,1,2
Kenny Agostino,TOR,1993-10-20 16:36:00.554853,1000,LW,1,0,0,0,0
Andrew Agozzino,ANA,1991-10-21 16:36:00.555402,1000,LW,3,0,1,7,6
Jack Ahcan,BOS,1998-10-19 16:36:00.555936,1000,D,3,0,0,5,2
Sebastian Aho,CAR,1998-10-19 16:36:00.556469,1000,F,56,24,33,25,38
Sebastian Aho,NYI,1997-10-19 16:36:00.557117,1000,D,3,1,1,2,1
Frederic Allard,NSH,1998-10-19 16:36:00.557797,1000,D,1,0,0,1,0
Wade Allison,PHI,1998-10-19 16:36:00.558429,1000,RW,14,4,3,10,28
Olle Alsing,OTT,1997-10-19 16:36:00.558979,1000,D,4,0,0,2,4
Mark Alt,LAK,1992-10-20 16:36:00.559516,1000,D,2,0,0,1,2
Michael Amadio,TOT,1997-10-19 16:36:00.560305,1000,C,25,0,3,16,8
Michael Amadio,LAK,1997-10-19 16:36:00.560866,1000,C,20,0,2,15,2
Michael Amadio,OTT,1997-10-19 16:36:00.561405,1000,C,5,0,1,1,6
Joey Anderson,TOR,1999-10-19 16:36:00.561936,1000,RW,1,0,0,3,0
Josh Anderson,MTL,1995-10-20 16:36:00.562600,1000,RW,52,17,7,25,139
Michael Anderson,LAK,2000-10-18 16:36:00.563160,1000,D,54,1,10,74,66
Jaret Anderson-Dolan,LAK,2000-10-18 16:36:00.563692,1000,C,34,7,4,20,52
Lias Andersson,LAK,1999-10-19 16:36:00.564651,1000,C,23,3,3,9,8
Rasmus Andersson,CGY,1997-10-19 16:36:00.565249,1000,D,56,5,16,68,49
Andy Andreoff,PHI,1992-10-20 16:36:00.566123,1000,LW,6,0,0,1,14
Anthony Angello,PIT,1997-10-19 16:36:00.567184,1000,C,19,2,2,2,51
Artem Anisimov,OTT,1989-10-21 16:36:00.567817,1000,C,19,2,7,9,9
Mason Appleton,WPG,1996-10-19 16:36:00.568369,1000,C,56,12,13,22,61
Josh Archibald,EDM,1993-10-20 16:36:00.568904,1000,RW,52,7,6,35,192
